                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.2121,                 1.3575,                0.60526,                0.91009,             0.00090451
                      1,                0.89885,                0.89822,                0.82018,                 0.9953,             0.00065451
                      2,                0.68367,                0.81554,                0.85119,                0.99279,             0.00034549
                      3,                0.56023,                0.68207,                0.91228,                0.99749,             9.5492e-05
                      4,                0.50293,                0.65022,                 0.9198,                0.99624,                  0.001
                      5,                0.76884,                0.83502,                0.84148,                0.99624,             0.00097553
                      6,                0.63635,                 0.8693,                0.83772,                0.99091,             0.00090451
                      7,                0.58644,                0.86256,                0.84085,                0.98496,             0.00079389
                      8,                0.55066,                 0.6935,                0.91259,                0.99687,             0.00065451
                      9,                0.51579,                0.66547,                0.91792,                0.99561,                 0.0005
                     10,                0.48961,                0.73744,                 0.8938,                0.98997,             0.00034549
                     11,                0.48163,                0.66862,                0.91855,                0.99279,             0.00020611
                     12,                0.46635,                0.64804,                0.92763,                0.99436,             9.5492e-05
                     13,                0.45903,                0.65251,                0.92575,                0.99279,             2.4472e-05
                     14,                0.45688,                0.65438,                0.92513,                0.99248,                  0.001
                     15,                0.86772,                0.74965,                0.87625,                0.99655,             0.00099384
                     16,                0.64748,                0.68156,                0.91416,                0.99593,             0.00097553
                     17,                0.56767,                0.67437,                0.92105,                0.99655,              0.0009455
                     18,                 0.5576,                0.66275,                0.92011,                0.99718,             0.00090451
                     19,                0.52987,                0.67257,                0.91635,                0.99499,             0.00085355
                     20,                0.52092,                0.63734,                0.92669,                0.99687,             0.00079389
                     21,                0.49541,                0.64627,                0.92262,                0.99749,               0.000727
                     22,                0.51275,                 0.6472,                0.92105,                0.99687,             0.00065451
                     23,                0.50827,                0.64092,                0.92857,                0.99781,             0.00057822
                     24,                0.47922,                0.64525,                0.92794,                0.99624,                 0.0005
                     25,                0.47015,                0.65792,                0.92293,                0.99561,             0.00042178
                     26,                0.47325,                0.65494,                0.92387,                0.99467,             0.00034549
                     27,                0.45738,                0.65258,                 0.9245,                0.99373,               0.000273
                     28,                0.45778,                0.65561,                0.92325,                0.99467,             0.00020611
                     29,                0.45278,                 0.6565,                0.92168,                0.99561,             0.00014645
                     30,                 0.4519,                0.65609,                0.92231,                0.99499,             9.5492e-05
                     31,                0.45062,                0.65723,                0.92325,                0.99436,             5.4497e-05
                     32,                0.44999,                0.65739,                0.92262,                0.99373,             2.4472e-05
                     33,                0.44965,                0.65813,                0.92199,                0.99342,             6.1558e-06
                     34,                0.44934,                0.65836,                0.92199,                0.99342,                  0.001
                     35,                 0.9211,                 1.2838,                0.72932,                0.92043,             0.00099846
                     36,                0.67549,                 1.6736,                0.61278,                0.86811,             0.00099384
                     37,                0.59127,                 1.7771,                0.58584,                0.86153,             0.00098618
